director,Netflix,Amazon,Disney_plus,Hulu
Rajiv Chilaka,22,0,0,0
Jan Suter,21,0,0,0
Ra�l Campos,19,0,0,0
Suhas Kadav,16,0,0,0
Jay Karas,15,7,1,0
Marcus Raboy,15,1,0,0
Cathy Garcia-Molina,13,0,0,0
Jay Chapman,12,34,0,0
Youssef Chahine,12,0,0,0
Martin Scorsese,12,0,0,0
Steven Spielberg,11,2,0,0
Don Michael Paul,10,2,0,0
David Dhawan,9,2,0,0
Y?lmaz Erdo?an,9,0,0,0
Shannon Hartman,9,0,0,0
Robert Rodriguez,8,3,1,0
Lance Bangs,8,3,0,0
Fernando Ayll�n,8,2,0,0
Johnnie To,8,2,0,0
Justin G. Dyck,8,1,0,0
Hakan Alg�l,8,0,0,0
Hanung Bramantyo,8,0,0,0
Troy Miller,8,0,0,0
Anurag Kashyap,8,0,0,0
Kunle Afolayan,8,0,0,0
Umesh Mehra,8,0,0,0
Ryan Polito,7,6,0,0
Noah Baumbach,7,3,0,0
Ram Gopal Varma,7,2,0,0
Ron Howard,7,1,2,0
Leslie Small,7,1,0,0
Toshiya Shinohara,7,0,0,0
Prakash Satam,7,0,0,0
Lasse Hallstr�m,7,0,1,0
Clint Eastwood,7,0,0,0
Quentin Tarantino,7,0,0,0
McG,7,0,0,0
Hidenori Inoue,7,0,0,0
Mae Czarina Cruz,7,0,0,0
Ozan A�?ktan,7,0,0,0
Omoni Oboli,7,0,0,0
S.S. Rajamouli,7,0,0,0
Manny Rodriguez,6,23,0,0
Karan Johar,6,4,0,0
Robert Luketic,6,3,0,0
Dibakar Banerjee,6,2,0,0
Priyadarshan,6,2,0,0
David Fincher,6,2,0,0
Anees Bazmee,6,1,0,0
Jesse V. Johnson,6,1,0,0
Steven Soderbergh,6,1,0,0
Matt Askem,6,1,0,0
Wong Jing,6,1,0,0
William Lau,6,0,0,0
Riri Riza,6,0,0,0
Tilak Shetty,6,0,0,0
Milan Luthria,6,0,0,0
Steve Ball,6,0,0,0
Ashutosh Gowariker,6,0,0,0
Rajkumar Santoshi,6,0,0,0
Imtiaz Ali,6,0,0,0
Sooraj R. Barjatya,6,0,0,0
Sameh Abdulaziz,6,0,0,0
Joey So,6,0,0,0
Vlad Yudin,6,0,0,0
Rocky Soraya,6,0,0,0
Wenn V. Deramas,6,0,0,0
Robert Vince,6,0,8,0
Spike Lee,5,4,0,0
Martin Campbell,5,3,0,0
Michael Simon,5,3,0,0
Andy Tennant,5,2,1,0
David Batty,5,2,0,0
Paul Thomas Anderson,5,1,0,0
Jay Roach,5,1,0,0
Kevin Smith,5,1,0,0
Indra Kumar,5,1,0,0
Vishal Bhardwaj,5,1,0,0
Alex Woo,5,0,0,0
Stanley Moore,5,0,0,0
Masahiko Murata,5,0,0,0
Nagesh Kukunoor,5,0,0,0
Anurag Basu,5,0,0,0
Mani Ratnam,5,0,0,0
Steve Brill,5,0,0,0
Vince Marcello,5,0,0,0
Rohit Shetty,5,0,0,0
Lynn Shelton,5,0,0,0
John G. Avildsen,5,0,0,0
Antoinette Jadaone,5,0,0,0
K?van� Baru�n�,5,0,0,0
Angga Dwimas Sasongko,5,0,0,0
Ava DuVernay,5,0,1,0
Prakash Jha,5,0,0,0
Detlev Buck,5,0,0,0
Shigeaki Kubo,5,0,0,0
Mahesh Manjrekar,5,0,0,0
Khaled Marei,5,0,0,0
Niyi Akinmolayan,5,0,0,0
Wilson Yip,5,0,0,0
Abbas Alibhai Burmawalla,5,0,0,0
Mastan Alibhai Burmawalla,5,0,0,0
Madhur Bhandarkar,5,0,0,0
Ishi Rudell,5,0,0,0
Mike Clattenburg,5,0,0,0
Rajiv Mehra,5,0,0,0
Thierry Donard,5,0,0,0
Lilly Wachowski,5,0,0,0
Lana Wachowski,5,0,0,0
Rob Reiner,4,5,1,0
Frank Capra,4,4,0,0
John Huston,4,4,0,0
Werner Herzog,4,3,0,0
Lee Tamahori,4,3,0,0
Sean McNamara,4,3,2,0
Rohit Jugraj,4,3,0,0
Rob Minkoff,4,2,2,0
Oliver Stone,4,2,0,0
Raja Gosnell,4,1,2,0
David Zucker,4,1,0,0
Peter Segal,4,1,0,0
Clay Glen,4,1,0,0
Ernie Barbarash,4,1,0,0
Roger Kumble,4,1,1,0
Paul Dugdale,4,1,0,0
Michael McKay,4,1,0,0
Wael Ihsan,4,1,0,0
Mike Smith,4,1,0,0
Farhan Akhtar,4,1,0,0
Zoya Akhtar,4,1,0,0
Rakeysh Omprakash Mehra,4,1,0,0
Mike Newell,4,1,1,0
Kundan Shah,4,1,0,0
Farah Khan,4,0,0,0
John Paul Tremblay,4,0,0,0
Edward Cotterill,4,0,0,0
Hrishikesh Mukherjee,4,0,0,0
Chris Stokes,4,0,0,0
Gregory Hoblit,4,0,0,0
Steve Carr,4,0,0,0
Chia-Liang Liu,4,0,0,0
Subhash Ghai,4,0,0,0
Poj Arnon,4,0,0,0
Banjong Pisanthanakun,4,0,0,0
Bruno Garotti,4,0,0,0
Dennis Dugan,4,0,0,0
Abhishek Chaubey,4,0,0,0
Antoine Fuqua,4,0,0,0
Andrew Lau Wai-keung,4,0,0,0
Peter Farrelly,4,0,0,0
Rathindran R Prasad,4,0,0,0
Moses Inwang,4,0,0,0
Kayode Kasum,4,0,0,0
Brian Levant,4,0,1,0
Cristina Jacob,4,0,0,0
Yoshiyuki Tomino,4,0,0,0
Mike Gunther,4,0,0,0
Michael Tiddes,4,0,0,0
Bo Burnham,4,0,0,0
Fajar Bustomi,4,0,0,0
Barry Avrich,4,0,0,0
Luis Ara,4,0,0,0
Jun Lana,4,0,0,0
Shaun Paul Piccinino,4,0,0,0
Shyam Benegal,4,0,0,0
Dan Villegas,4,0,0,0
Maroun Baghdadi,4,0,0,0
Philippe Aractingi,4,0,0,0
Sam Liu,4,0,0,0
Sudhir Mishra,4,0,0,0
Antonio Campos,4,0,0,0
Ahmed Nader Galal,4,0,0,0
Conrad Helten,4,0,0,0
Savage Steve Holland,4,0,0,0
Fernando Gonz�lez Molina,4,0,0,0
Nishikant Kamat,4,0,0,0
Wael Ehsan,4,0,0,0
Ahmad El-Badri,4,0,0,0
Lucas Margutti,4,0,0,0
Christopher Storer,4,0,0,0
Hern�n Zin,4,0,0,0
Terry Gilliam,4,0,0,0
Jeremy Saulnier,4,0,0,0
John Asher,3,9,0,0
Shawn Levy,3,5,3,0
Jonathan Demme,3,4,0,0
Phillip Noyce,3,3,0,0
Steven C. Miller,3,3,0,0
Garry Marshall,3,3,2,0
Mahesh Bhatt,3,3,0,0
Renny Harlin,3,2,0,0
Paul W.S. Anderson,3,2,0,0
Roland Emmerich,3,2,0,0
Satish Rajwade,3,2,0,0
Brett Haley,3,2,0,0
Ethan Coen,3,2,0,0
Joel Coen,3,2,0,0
Michael Dowse,3,2,0,0
John Fortenberry,3,2,0,0
Bobcat Goldthwait,3,2,0,0
Marc Forster,3,2,1,0
Lekh Tandon,3,1,0,0
Joe Camp,3,1,1,0
Gajendra Ahire,3,1,0,0
Raj Kapoor,3,1,0,0
Barry Sonnenfeld,3,1,0,0
Gilles Paquet-Brenner,3,1,0,0
Simon Wincer,3,1,2,0
Tim Burton,3,1,4,0
Brad Anderson,3,1,0,0
Roger Donaldson,3,1,0,0
Drake Doremus,3,1,0,0
Robert Zemeckis,3,1,2,0
Gabriele Muccino,3,1,0,0
Paul Weitz,3,1,0,0
Joe Berlinger,3,1,0,0
Andrzej Bartkowiak,3,1,0,0
Kevin Macdonald,3,1,0,0
Abhinay Deo,3,1,0,0
Guillermo del Toro,3,1,0,0
Jeff Nichols,3,1,0,0
Vikas Bahl,3,1,0,0
Seth Barrish,3,1,0,0
Prakash Mehra,3,1,0,0
Jeff Baena,3,1,0,0
Maria Ripoll,3,1,0,0
Ron Oliver,3,1,0,0
Abhishek Kapoor,3,1,0,0
Michael Bay,3,1,0,0
Craig Brewer,3,1,0,0
Orlando von Einsiedel,3,1,0,0
Dante Lam,3,1,0,0
Akiva Schaffer,3,1,0,0
Hasan Karacada?,3,1,0,0
John Lee Hancock,3,1,0,0
David Mackenzie,3,1,0,0
Morgan Neville,3,1,0,0
Remo D'Souza,3,1,0,0
Mike Flanagan,3,0,0,0
Rajiv Menon,3,0,0,0
Chapman Way,3,0,0,0
Maclain Way,3,0,0,0
Jane Campion,3,0,0,0
Sebasti�n Schindel,3,0,0,0
Reginald Hudlin,3,0,1,0
Pang Ho-cheung,3,0,0,0
Bobby Farrelly,3,0,0,0
Wolfgang Petersen,3,0,0,0
Peter Spirer,3,0,0,0
Sachin Yardi,3,0,0,0
Mark Waters,3,0,2,0
Adze Ugah,3,0,0,0
Kenneth Gyang,3,0,0,0
Marcos Bucay,3,0,0,0
Shyamal Chaulia,3,0,0,0
Mahmoud Karim,3,0,0,0
Seyi Babatope,3,0,0,0
Leigh Janiak,3,0,0,0
Sofia Coppola,3,0,0,0
Chris Weitz,3,0,0,0
Chris Buck,3,0,4,0
Barry Levinson,3,0,0,0
Hardik Mehta,3,0,0,0
Rano Karno,3,0,0,0
Ivan Reitman,3,0,0,0
Adam McKay,3,0,0,0
Walter Hill,3,0,0,0
Robert O. Peters,3,0,0,0
Yoshikazu Yasuhiko,3,0,0,0
Karthik Subbaraj,3,0,0,0
Soudade Kaadan,3,0,0,0
Jerry Rothwell,3,0,0,0
Mark Raso,3,0,0,0
Alex D�az,3,0,0,0
Les Mayfield,3,0,1,0
Ric Roman Waugh,3,0,0,0
Todd Phillips,3,0,0,0
David Ayer,3,0,0,0
Adriano Rudiman,3,0,0,0
Paul Greengrass,3,0,0,0
Eric Darnell,3,0,0,0
Peter Jackson,3,0,0,0
�mer Faruk Sorak,3,0,0,0
Alexis Morante,3,0,0,0
Burak Aksak,3,0,0,0
Bedran G�zel,3,0,0,0
Rajkumar Hirani,3,0,0,0
James Wan,3,0,0,0
Peyton Reed,3,0,2,0
Blair Simmons,3,0,0,0
Chris Smith,3,0,0,0
Tate Taylor,3,0,0,0
Andrew Duncan,3,0,0,0
Pablo Larra�n,3,0,0,0
Ribhu Dasgupta,3,0,0,0
B. V. Nandini Reddy,3,0,0,0
Mich?le Ohayon,3,0,0,0
Florent Bodin,3,0,0,0
Richard Weston,3,0,0,0
Vikramaditya Motwane,3,0,0,0
Andibachtiar Yusuf,3,0,0,0
Yasmin Ahmad,3,0,0,0
Theodore Boborol,3,0,0,0
Greg Rankin,3,0,0,0
TJ Sullivan,3,0,0,0
Tope Oshin,3,0,0,0
Mat�as Gueilburt,3,0,0,0
Kief Davidson,3,0,0,0
Kim Nguyen,3,0,0,0
Ken Ghosh,3,0,0,0
Christopher Nolen,3,0,0,0
Adrian Teh,3,0,0,0
Chris Howe,3,0,0,0
Tom Hooper,3,0,0,0
Toka McBaror,3,0,0,0
Scott Zabielski,3,0,0,0
Neeraj Pandey,3,0,0,0
Rako Prijanto,3,0,0,0
Cem Y?lmaz,3,0,0,0
Ishaya Bako,3,0,0,0
Olivier Assayas,3,0,0,0
Pidi Baiq,3,0,0,0
Ahmed Al-Badry,3,0,0,0
Shirish Kunder,3,0,0,0
Sermiyan Midyat,3,0,0,0
Amr Arafa,3,0,0,0
Jon M. Chu,3,0,0,0
Diego Pignataro,3,0,0,0
Anirban Majumder,3,0,0,0
Momoko Kamiya,3,0,0,0
Nate Adams,3,0,0,0
Adam Carolla,3,0,0,0
G.J. Echternkamp,3,0,0,0
Mark A.Z. Dipp�,3,0,0,0
Jon Rosenbaum,3,0,0,0
John Schultz,3,0,1,0
Linda Mendoza,3,0,0,0
Mikhail Red,3,0,0,0
Pankaj Batra,3,0,0,0
Abhishek Sharma,3,0,0,0
Neal Brennan,3,0,0,0
David Mich�d,3,0,0,0
Petra Costa,3,0,0,0
Ashwin Saravanan,3,0,0,0
Sujoy Ghosh,3,0,0,0
Gerardo Olivares,3,0,0,0
Gonzalo L�pez-Gallego,3,0,0,0
Leena Yadav,3,0,0,0
Olivia M. Lamasan,3,0,0,0
Alex Lehmann,3,0,0,0
Gast�n Duprat,3,0,0,0
Hiroyuki Seshita,3,0,0,0
Walter C. Miller,3,0,0,0
Noriyuki Abe,3,0,0,0
Alfonso Cuar�n,3,0,0,0
Nila Madhab Panda,3,0,0,0
Timo Tjahjanto,3,0,0,0
Raj Kumar Gupta,3,0,0,0
Amitoj Mann,3,0,0,0
Aziz Mirza,3,0,0,0
Qaushiq Mukherjee,3,0,0,0
Onir,3,0,0,0
Robb Wells,3,0,0,0
Charles Stone III,3,0,0,0
Latif Faiziyev,3,0,0,0
Toshiyuki Kubooka,3,0,0,0
Israel Adri�n Caetano,3,0,0,0
Ketan Mehta,3,0,0,0
Louis C.K.,3,0,0,0
Ricky Gervais,3,0,0,0
Pratim D. Gupta,3,0,0,0
Frank Coraci,3,0,1,0
Adam Shankman,3,0,3,0
Chandrakant Kulkarni,3,0,0,0
Barak Goodman,3,0,0,0
Simon Wells,3,0,1,0
Ismail Farouk,3,0,0,0
Sumitra Bhave,3,0,0,0
Sunil Sukthankar,3,0,0,0
Ezekiel Norton,3,0,0,0
Vivieno Caldinelli,3,0,0,0
Asit Mohapatra,3,0,0,0
Atom Egoyan,3,0,0,0
Mohamed Samy,3,0,0,0
Rob Cohen,3,0,0,0
Greg MacGillivray,3,0,0,0
David R. Ellis,3,0,0,0
Cheh Chang,3,0,0,0
Kazuchika Kise,3,0,0,0
Note Chern-Yim,3,0,0,0
Munjal Shroff,3,0,0,0
Ron Myrick,3,0,0,0
Steve Sacks,3,0,0,0
Dustin McKenzie,3,0,0,0
Sylvester Stallone,3,0,0,0
Mohamed Hamdy,3,0,0,0
Vicky Matthews,3,0,0,0
Frank Oz,3,0,0,0
Brian Volk-Weiss,2,19,0,0
John Ford,2,6,0,0
Shakti Samanta,2,4,0,0
Ridley Scott,2,4,0,0
Bruce Beresford,2,4,0,0
Kunihiko Yuyama,2,4,0,0
Hideaki Anno,2,4,0,0
Keoni Waxman,2,4,0,0
Jim Henson,2,3,1,0
Shashank Khaitan,2,3,0,0
A. L. Vijay,2,3,0,0
Aditya Sarpotdar,2,3,0,0
A.R. Murugadoss,2,3,0,0
Joe Dante,2,3,0,0
Sean Cisterna,2,2,0,0
Toa Fraser,2,2,0,0
Chris Bell,2,2,0,0
Richard Rich,2,2,2,0
Rian Johnson,2,2,1,0
Norman Jewison,2,2,0,0
Kedar Shinde,2,2,0,0
John Stockwell,2,2,0,0
Lewis Milestone,2,2,0,0
Jayson Thiessen,2,2,0,0
Morgan Spurlock,2,2,0,0
Joseph Sargent,2,2,0,0
David Gordon Green,2,2,0,0
Peter Chelsom,2,2,1,0
Michael Winterbottom,2,2,0,0
Johannes Roberts,2,2,0,0
Ringo Lam,2,2,0,0
Shinji Aramaki,2,2,0,0
Nelson McCormick,2,2,0,0
Vikram Bhatt,2,2,0,0
Darren Lynn Bousman,2,2,0,0
James Toback,2,2,0,0
Michael Damian,2,2,0,0
Punit Malhotra,2,2,0,0
Daniel Calparsoro,2,2,0,0
Jeethu Joseph,2,2,0,0
Danny Boyle,2,2,0,0
Kunal Kohli,2,2,0,0
Chris Bould,2,2,0,0
Thiru,2,2,0,0
Saket Chaudhary,2,1,0,0
Randal Kleiser,2,1,3,0
Tom Shadyac,2,1,0,0
Bejoy Nambiar,2,1,0,0
Gary Ross,2,1,0,0
Mark Osborne,2,1,0,0
Stephen Frears,2,1,0,0
Daniel Benmayor,2,1,0,0
Zack Snyder,2,1,0,0
Justin Kelly,2,1,0,0
Sumit Das,2,1,0,0
Luis Valdez,2,1,0,0
Alex Zamm,2,1,4,0
Tony Giglio,2,1,0,0
Halitha Shameem,2,1,0,0
Jared Hess,2,1,0,0
Emmett Malloy,2,1,0,0
Alex Merkin,2,1,0,0
Sarah Gavron,2,1,0,0
Brian Robbins,2,1,0,0
Sean Penn,2,1,0,0
George C. Wolfe,2,1,0,0
Pierre Morel,2,1,0,0
Bernie Denk,2,1,0,0
Stephen Chiodo,2,1,0,0
Oz Rodriguez,2,1,0,0
Davis Guggenheim,2,1,0,0
Mark Steven Johnson,2,1,0,0
Tyler Spindel,2,1,0,0
Peter Sullivan,2,1,0,0
Umesh Shukla,2,1,0,0
Luv Ranjan,2,1,0,0
Paul Verhoeven,2,1,0,0
David Dobkin,2,1,0,0
Michael Showalter,2,1,0,0
Mohit Suri,2,1,0,0
Joe DeMaio,2,1,0,0
Mukul Anand,2,1,0,0
Tarun Mansukhani,2,1,0,0
Shakun Batra,2,1,0,0
Renzil D'Silva,2,1,0,0
David Pastor,2,1,0,0
Liz Garbus,2,1,1,0
Trivikram Srinivas,2,1,0,0
Reema Kagti,2,1,0,0
Navaniat Singh,2,1,0,0
Gillian Robespierre,2,1,0,0
Stan Lathan,2,1,0,0
Corey Yuen,2,1,0,0
Sanjay Jadhav,2,1,0,0
Terry Jones,2,1,0,0
Scott L. Montoya,2,1,0,0
Jeffrey Walker,2,1,0,0
David Sington,2,1,0,0
Scott Moran,2,1,0,0
Warren P. Sonoda,2,1,0,0
Mariano Cohn,2,1,0,0
Mike Birbiglia,2,1,0,0
James Yukich,2,1,0,0
Karyn Kusama,2,1,0,0
Daniel Stamm,2,1,0,0
Stanley Kubrick,2,1,0,0
Asghar Farhadi,2,1,0,0
Don Bluth,2,1,3,0
Dharmesh Darshan,2,1,0,0
Brian De Palma,2,1,0,0
Ken Burns,2,1,0,0
Robert Altman,2,1,0,0
Satish Kaushik,2,1,0,0
Timothy Woodward Jr.,2,1,0,0
Benjamin Turner,2,1,0,0
Gus Van Sant,2,1,0,0
Neil Jordan,2,1,0,0
Isaac Ezban,2,1,0,0
Shlok Sharma,2,0,0,0
Elaine McMillion Sheldon,2,0,0,0
Andrew Niccol,2,0,0,0
Sang-ho Yeon,2,0,0,0
Andy Fickman,2,0,3,0
Peter Orton,2,0,0,0
Alison Klayman,2,0,0,0
Ben Wallis,2,0,1,0
Duncan Jones,2,0,0,0
Ari Sandel,2,0,0,0
Jose Manuel Col�n,2,0,0,0
Patrick Brice,2,0,0,0
Jacob Kornbluth,2,0,0,0
Errol Morris,2,0,0,0
Heidi Ewing,2,0,0,0
