directors_list,genre_list,genre_count
???,Fantasy,1
????,Arts,1
?lex Pastor,Horror Movies,1
?lex Pastor,Independent Movies,1
20th Century Fox,Action,3
9 Story Entertainment,Kids,1
A Gokul Krishna,comedy,1
A. Bhimsingh,Drama,3
A. C. Tirulokchandar,Drama,4
A. C. Tirulokchandar,Romance,1
A. Edward Sutherland,comedy,2
A. K. Velan,Drama,1
A. L. Vijay,comedy,4
A. L. Vijay,Music,1
A. N. Pitchumani,Action,1
A. P. Nagarajan,Drama,1
A. R. Murugadoss,Action,1
A. Raajdheep,Drama,1
A. Salaam,Action & Adventure,1
A. V. Meiyappan,comedy,1
A. V. Meiyappan,Drama,1
A. V. Meiyappan A. T. Krishnaswamy,Drama,1
A. Venkatesh,Drama,1
A.J. Martinson,Action,1
A.J. Murugan,Action,1
A.L. Vijay,Drama,4
A.L. Vijay,Horror,1
A.R. Murugadoss,Action,3
A.R. Murugadoss,Action & Adventure,2
A.V. Meiyappan,Drama,1
Aabid Bhushan,comedy,1
Aadish Keluskar,Drama,1
Aakash Motiani,Arts,1
Aamir Bashir,Drama,1
Aamir Khan,Drama,1
Aanand Rai,comedy,1
Aaron Blaise,Action & Adventure,1
Aaron Burns,International,1
Aaron Cadieux,Special Interest,1
Aaron Courseault,Drama,1
Aaron Hancox,Documentary,1
Aaron Hann,Drama,1
Aaron J. Christopher,Documentary,1
Aaron Lieber,Children & Family Movies,1
Aaron McJames,Science Fiction,1
Aaron Michael,Kids,11
Aaron Mirtes,Science Fiction,1
Aaron Moorhead,Independent Movies,1
Aaron Moorhead,Thriller,1
Aaron Nee,Action,1
Aaron Nee,Action & Adventure,1
Aaron Norris,Action,2
Aaron Seltzer,comedy,2
Aaron Setzer,comedy,1
Aaron Sorkin,Drama,2
Aaron Stephenson,Arts,1
Aaron Stevenson,Documentary,1
Aaron Woodley,Action,1
Aaron Woodley,Children & Family Movies,1
Aaron Woolf,Documentary,1
Aashiq Abu,Drama,2
Aatmaram Dharne,comedy,1
Abba T. Makama,comedy,2
Abbas Alibhai Burmawalla,Action & Adventure,3
Abbas Alibhai Burmawalla,comedy,1
Abbas Alibhai Burmawalla,International,1
Abbas Mustan,comedy,1
Abbas Raziji,Drama,1
Abbas Tyrewala,comedy,1
Abby Epstein,Documentary,1
Abdellatif Kechiche,Drama,1
Abdul Aziz Hashad,Drama,1
Abdulaziz Alshlahei,Drama,1
Abel Berry,Horror,1
Abel Dare,comedy,1
Abel Ferrara,Drama,1
Abhay Chopra,Drama,1
Abhijeet Deshpande,Drama,1
Abhijeet Warang,Drama,1
Abhijit Kokate,Horror Movies,1
Abhijit Panse,Drama,2
Abhilash Reddy,comedy,1
Abhinay Deo,Action,1
Abhinay Deo,Action & Adventure,2
Abhinay Deo,International,1
Abhiraj K Minawala,comedy,1
Abhiram M,Drama,1
Abhishek Chaubey,comedy,2
Abhishek Chaubey,Drama,2
Abhishek Kapoor,Arts,1
Abhishek Kapoor,Drama,3
Abhishek Pathak,comedy,1
Abhishek Saxena,Drama,1
Abhishek Sharma,comedy,2
Abhishek Sharma,Drama,1
Abhishek Varman,comedy,1
Abhishek Varman,Drama,1
Abir Sengupta,Action & Adventure,1
Abner Biberman,Action,1
Abosi Ogba,Children & Family Movies,1
ABRID SHINE,Action,1
Abu Bakr Shawky,Drama,1
Abu Nizam,Arts,1
Abu Nizam,Drama,1
Achille Brice,comedy,1
Adam Alleca,Action & Adventure,1
Adam B. Stein,Independent Movies,1
Adam Berardi,comedy,1
Adam Bhala Lough,Documentary,1
Adam Bolt,Documentary,1
Adam Buck,Arts,1
Adam Carolla,Documentary,3
Adam Collins,Action & Adventure,1
Adam Darke,Documentary,1
Adam Davis,Documentary,1
Adam Del Deo,Arts,1
Adam Del Giudice,Drama,1
Adam Deyoe,Drama,1
Adam Dubin,Stand Up,1
Adam Dufour,Drama,1
Adam Egypt Mortimer,comedy,1
Adam Egypt Mortimer,Horror,1
Adam Gierasch,Action,1
Adam Goldberg,comedy,1
Adam Green,Horror,2
Adam Jay Epstein,comedy,1
Adam Larson Broder,comedy,2
Adam Leon,Drama,1
Adam MacDonald,Horror Movies,1
Adam Marcus,Action,1
Adam Marino,Horror,1
Adam Marino,Independent Movies,1
Adam Massey,Drama,1
Adam McKay,Action & Adventure,2
Adam McKay,comedy,1
Adam Montierth,Drama,1
Adam Nee,Action,1
Adam Nee,Action & Adventure,1
Adam Nimoy,Documentary,1
Adam Ninyo,Arts,1
Adam Oldroyd,Suspense,1
Adam R. Steigert,Action,1
Adam Randall,Drama,1
Adam Randall,International,1
Adam Ripp,Horror,1
Adam Robitel,Horror,1
Adam Rodgers,comedy,1
Adam Rothlein,Arts,1
Adam Salky,Thriller,1
Adam Schindler,Drama,1
Adam Schlesinger,Documentary,1
Adam Schomer,Documentary,1
Adam Sedl�k,Horror,1
Adam Shankman,Action & Adventure,1
Adam Shankman,Children & Family Movies,2
Adam Shankman,comedy,2
Adam Shankman,Drama,1
Adam Sj�berg,Documentary,1
Adam Smith,Drama,1
Adam Stein,Action & Adventure,1
