country_list;directors_list;genre_list;actor_list;years;services
Afghanistan;Mike Flanagan;Action;Mayur More;2021;netflix
Albania;Robert Cullen;Action & Adventure;Jitendra Kumar;2020;amazon_prime
Algeria;JosÈ Luis Ucha;Adult Animation;Ranjan Raj;2019;hulu
Angola;Haile Gerima;Adventure;Alam Khan;2018;disney_plus
Argentina;Andy Devonshire;Animals & Nature;Ahsaas Channa;2017;
Armenia;Theodore Melfi;Animation;Revathi Pillai;2016;
Australia;Kongkiat Komesiri;Anime;Urvi Singh;2015;
Austria;Christian Schwochow;Anthology;Arun Kumar;2014;
Azerbaijan;Bruno Garotti;Arts;Kate Siegel;2013;
Bahamas;Pedro de Echave GarcÌa;Biographical;Zach Gilford;2012;
Bangladesh;Pablo AzorÌn Williams;Black Stories;Hamish Linklater;2011;
Belarus;Adam Salky;British TV Shows;Henry Thomas;2010;
Belgium;Olivier Megaton;Buddy;Kristin Lehman;2009;
Bermuda;K.S. Ravikumar;Cartoons;Samantha Sloyan;2008;
Botswana;Alex Woo;Children & Family Movies;Igby Rigney;2007;
Brazil;Stanley Moore;Classic & Cult TV;Rahul Kohli;2006;
Bulgaria;S. Shankar;Classic Movies;Annarah Cymone;2005;
Burkina Faso;Rajiv Menon;Classics;Annabeth Gish;2004;
Cambodia;Dennis Dugan;comedy;Alex Essoe;2003;
Cameroon;Scott Stewart;Coming of Age;Rahul Abburi;2002;
Canada;Robert Luketic;Concert Film;Matt Biedel;2001;
Cayman Islands;Ashwiny Iyer Tiwari;Cooking & Food;Michael Trucco;2000;
Chile;Abhishek Chaubey;Crime;Crystal Balint;1999;
China;Saket Chaudhary;Crime TV Shows;Louis Oliver;1998;
Colombia;Daniel Sandu;Culture;Vanessa Hudgens;1997;
Costa Rica;CÈdric Jimenez;Dance;Kimiko Glenn;1996;
Croatia;George Nolfi;Disaster;James Marsden;1995;
Cuba;Steven Spielberg;Documentary;Sofia Carson;1994;
Cyprus;Jeannot Szwarc;Drama;Liza Koshy;1993;
Czech Republic;Joe Alves;Entertainment;Ken Jeong;1992;
Denmark;Joseph Sargent;Faith & Spirituality;Elizabeth Perkins;1991;
Dominican Republic;Tyler Greco;Faith and Spirituality;Jane Krakowski;1990;
East Germany;Daniel Espinosa;Family;Michael McKean;1989;
Ecuador;Bunmi Ajakaiye;Fantasy;Phil LaMarr;1988;
Egypt;Antoine Fuqua;Fitness;Kofi Ghanaba;1987;
Ethiopia;Toshiya Shinohara;Game Shows;Oyafunmike Ogunlano;1986;
Finland;Masahiko Murata;Health & Wellness;Alexandra Duah;1985;
France;Hajime Kamegaki;History;Nick Medley;1984;
French Polynesia;Hirotsugu Kawasaki;Horror;Mutabaruka;1983;
Georgia;Toshiyuki Tsuru;Horror Movies;Afemo Omilami;1982;
Germany;Tensai Okamura;Independent Movies;Reggie Carter;1981;
Ghana;David Yarovesky;International;Mzuri;1980;
Greece;Hanns-Bruno Kammertˆns;Kids;Mel Giedroyc;1979;
Guatemala;Vanessa Nˆcker;Korean TV Shows;Sue Perkins;1978;
Hong Kong;Michael Wech;Late Night;Mary Berry;1977;
Hungary;David A. Vargas;Latino;Paul Hollywood;1976;
Iceland;Kemi Adetiba;LGBTQ;Melissa McCarthy;1975;
India;Ben Simms;Lifestyle;Chris O'Dowd;1974;
Indonesia;Prakash Satam;Medical;Kevin Kline;1973;
Iran;Delhiprasad Deenadayalan;Military and War;Timothy Olyphant;1972;
Iraq;Tomer Eshed;Music;Daveed Diggs;1971;
Ireland;Cedric Nicolas-Troyan;Musical;Skyler Gisondo;1970;
Israel;JJC Skillz;Mystery;Laura Harrier;1969;
Italy;Funke Akindele;News;Rosalind Chao;1968;
Jamaica;Thomas Sieben;Parody;Kimberly Quinn;1967;
Japan;Marcus Clarke;Police/Cop;Loretta Devine;1966;
Jordan;Alice Waddington;Reality;Ravi Kapoor;1965;
Kazakhstan;Mona Achache;Romance;Sukollawat Kanarot;1964;
Kenya;Patricia Tourancheau;Romantic Comedy;Sushar Manaying;1963;
Kosovo;Alexis Almstrˆm;Romantic Movies;Pavarit Mongkolpisit;1962;
Kuwait;Raja Gosnell;Romantic TV Shows;Sahajak Boonthanakit;1961;
Latvia;Stephen Kijak;Science & Nature TV;Suthipongse Thatphithakkul;1960;
Lebanon;Chapman Way;Science & Technology;Bhasaworn Bawronkirati;1959;
Liechtenstein;Maclain Way;Science Fiction;Daweerit Chullasapya;1958;
Lithuania;Jason Hehir;Sci-Fi & Fantasy;Waratthaya Wongchayaporn;1957;
Luxembourg;Yemi Amodu;Sitcom;Kittiphoom Wongpentak;1956;
Malawi;Lijo Jose Pellissery;Sketch Comedy;Abhicha Thanachanun;1955;
Malaysia;David de Vos;Soap Opera / Melodrama;Nophand Boonyai;1954;
Malta;Luis Alfaro;Spanish-Language TV Shows;Kittipong Khamsat;1953;
Mauritius;Javier GÛmez Santander;Special Interest;Arisara Wongchalee;1952;
Mexico;Sara Colangelo;Sports;Jaytiya Naiwattanakul;1951;
Monaco;Stephen Herek;Sports Movies;Pantipa Arunwattanachai;1950;
Mongolia;Rahul Rawail;Spy/Espionage;Panupan Jantanawong;1949;
Montenegro;Jane Campion;Stand Up;Kungtap Saelim;1948;
Morocco;Nagesh Kukunoor;Stand Up & Talk Shows;Phumphat Chartsuriyakiat;1947;
Mozambique;Luke Holland;Superhero;Issara Veranitinunt;1946;
Namibia;Shanker Raman;Survival;Keerati Sivakuae;1945;
