directors_list,country_list,movie_count
???,China,1
?lex Pastor,Spain,1
?lex Pastor,United States,1
A. L. Vijay,India,2
A. Raajdheep,India,1
A. Salaam,India,1
A.R. Murugadoss,India,1
Aadish Keluskar,India,1
Aamir Bashir,India,1
Aamir Khan,India,1
Aanand Rai,India,1
Aaron Blaise,United States,1
Aaron Burns,Chile,1
Aaron Cadieux,United States,1
Aaron Hancox,Canada,1
Aaron Hann,United States,1
Aaron Lieber,United States,1
Aaron Moorhead,United States,2
Aaron Nee,United States,1
Aaron Sorkin,China,1
Aaron Sorkin,United States,1
Aaron Woodley,India,1
Aaron Woolf,United States,1
Aashiq Abu,India,1
Aatmaram Dharne,India,1
Abba T. Makama,Nigeria,2
Abbas Alibhai Burmawalla,India,5
Abbas Mustan,India,1
Abbas Tyrewala,India,1
Abby Epstein,United States,1
Abdellatif Kechiche,France,1
Abdulaziz Alshlahei,Saudi Arabia,1
Abel Ferrara,United States,1
Abhay Chopra,India,1
Abhijeet Deshpande,India,1
Abhijit Kokate,India,1
Abhijit Panse,India,1
Abhinay Deo,India,4
Abhishek Chaubey,India,3
Abhishek Kapoor,India,4
Abhishek Saxena,India,1
Abhishek Sharma,India,3
Abhishek Varman,India,2
Abir Sengupta,India,1
Abu Bakr Shawky,Egypt,1
Adam Alleca,Canada,1
Adam B. Stein,United States,1
Adam Bolt,United States,1
Adam Carolla,United States,3
Adam Collins,United Kingdom,1
Adam Darke,United Kingdom,1
Adam Davis,United States,1
Adam Del Giudice,United States,1
Adam Deyoe,United States,1
Adam Dubin,United States,1
Adam Egypt Mortimer,United States,1
Adam Larson Broder,United States,1
Adam Leon,United States,1
Adam MacDonald,Canada,1
Adam Marino,United States,1
Adam McKay,United States,3
Adam Nee,United States,1
Adam Nimoy,Canada,1
Adam Randall,United Kingdom,1
Adam Randall,United States,1
Adam Schlesinger,United States,1
Adam Shankman,Canada,1
Adam Shankman,United States,4
Adam Sj�berg,China,1
Adam Smith,United Kingdom,1
Adam Stein,United States,1
Adam Wingard,United States,1
Adam Wood,United States,1
Adarsh Eshwarappa,India,1
Adekunle Nodash Adejuyigbe,Nigeria,1
Adele K. Thomas,Australia,1
Adesh Prasad,India,1
Adil El Arbi,Belgium,1
Adisorn Tresirikasem,Thailand,1
Aditya Chopra,India,3
Aditya Kripalani,India,2
Aditya Sarpotdar,India,2
Aditya Vikram Sengupta,India,1
Adrian Murray,Canada,1
Adrian Teh,Malaysia,3
Adriana Trigiani,United States,1
Advait Chandan,India,1
Adze Ugah,South Africa,3
Afia Nathaniel,Pakistan,1
Afonso Poyart,Brazil,1
Agasyah Karim,Indonesia,1
Agnidev Chatterjee,India,1
Agust� Villaronga,Spain,1
Ahishor Solomon,India,1
Ahmad El-Badri,Egypt,3
Ahmad Samir Farag,Egypt,1
Ahmed Al-Badry,Egypt,1
Ahmed El Gendy,Egypt,1
Ahmed Medhat,Egypt,1
Ahmed Nader Galal,Egypt,4
Ahmed Saleh,Egypt,1
Ahmed Siddiqui,Kuwait,1
Ahmed Yousry,Egypt,1
Ahmed Zain,United Arab Emirates,2
Ahmed Zein,United Arab Emirates,2
Ahn Byoung-wook,South Korea,1
Ahsan Rahim,Pakistan,1
Aidan Belizaire,United Kingdom,1
Aijaz Khan,India,1
Ainsley Gardiner,New Zealand,1
Aitor Arregi,Spain,2
Ajay Bahl,India,1
Ajay Bhuyan,India,2
Ajay Phansekar,India,1
Ajithkumar,India,1
Akarsh Khurana,India,1
Akashdeep,India,1
Akhigbe Ilozobhie,Nigeria,1
Akhil Paul,India,1
Akihiko Yamashita,Japan,1
Akin Omotoso,South Africa,1
Akira Saitoh,Japan,1
Akiva Goldsman,United States,1
Akiva Schaffer,United States,2
Akiyuki Shinbo,Japan,1
Akram Farouk,Egypt,1
Akshay Akkineni,India,1
Akshay Roy,India,1
Akshay Shankar,India,1
Al Campbell,United States,1
Al? Abreu,Brazil,1
Alain Darborg,Sweden,1
Alain Desrochers,Canada,1
Alain Gagnol,France,1
Alan Alda,United States,1
Alan Ball,United States,1
Alan Barillaro,United States,1
Alan Hicks,United States,1
Alan J. Pakula,United States,2
Alan Mak,China,1
Alan Parker,United Kingdom,1
Alan Rickman,United Kingdom,1
Alan Shapiro,Canada,1
Alan Taylor,United States,1
Alan Yang,United States,1
Alan Zaslove,United States,1
Alankrita Shrivastava,India,1
Alastair Fothergill,Tanzania,1
Alastair Fothergill,United Kingdom,1
Alastair Fothergill,United States,4
Alban Teurlai,France,1
Albert Hughes,United States,1
Albert Pyun,United States,1
Albert Sharpe,United Kingdom,1
Alberto Arnaut Estrada,Mexico,1
Alberto Rodr�guez,Spain,1
Alejandra M�rquez Abella,Mexico,1
Alejandro Agresti,United States,2
Alejandro De Grazia,Argentina,1
Alejandro Doria,Argentina,1
Alejandro Fern�ndez Almendras,Chile,2
Alejandro G. I?�rritu,France,1
Alejandro Martinez-Beltran,Mexico,1
Alejandro Montiel,Argentina,2
Aleksey German,Russia,1
Aleksey Tsitsilin,Russia,1
Alessandro Angulo,Colombia,1
Alessandro Pepe,Italy,1
Alessio Cremonini,Italy,1
Alethea Jones,United States,1
Alex Brewer,United States,1
Alex Burunova,United States,1
Alex Coletti,United States,1
Alex D�az,Mexico,3
Alex Garland,United Kingdom,1
Alex Holmes,Australia,1
Alex Infascelli,Italy,1
Alex Israel,United States,1
Alex Law,Hong Kong,1
Alex Lehmann,United States,3
Alex Merkin,United States,2
Alex Parkinson,United Kingdom,1
Alex Proyas,United States,2
Alex Ranarivelo,United States,1
Alex Richanbach,United States,1
Alex Rudzinski,United States,1
Alex Smith,United States,1
Alex Stapleton,United States,1
Alex Timbers,United States,2
Alex Winter,United States,2
Alex Woo,United States,2
Alex Zamm,United States,5
Alexander Peter Lercher,Austria,1
Alexander Smith,United States,1
Alexandra Dean,United States,1
Alexandre Aja,France,1
Alexandre Aja,United States,1
Alexandre Avancini,Brazil,2
Alexandre Espigares,France,1
Alexandre Heboyan,France,1
Alexandre Reinecke,Brazil,1
Alexandros Avranas,United Kingdom,1
Alexis Morante,Spain,3
Alfons Adetuyi,Canada,1
Alfonso Arau,Mexico,1
Alfonso Cort�s-Cavanillas,Spain,1
Alfonso Cuar�n,Mexico,3
Alfonso Rodr�guez,Spain,1
Alfonso Serrano Maturino,Mexico,1
Alfred Gimeno,United States,2
Alfred Hitchcock,United States,1
Alfred Werker,United States,1
Ali Abbas Zafar,India,3
Ali Abbas Zafar,United States,1
Ali Bin Matar,United Arab Emirates,1
Ali F. Mostafa,United Arab Emirates,2
Ali Ragab,Egypt,2
Ali Samadi Ahadi,Germany,1
Ali Scher,United States,1
Ali Tabrizi,United States,1
Ali Taner Baltac?,Turkey,2
Ali Yorganc?o?lu,Turkey,1
Alice Mathias,United States,1
Alice Rohrwacher,Italy,1
