Director,movie_count_general,average_movie_duration,all_movies_duration
Mark Knight,114,146,16600
Cannis Holder,62,38,2327
Jay Chapman,42,63,2913
Moonbug Entertainment,37,37,1373
Arthur van Merwijk,30,40,1200
Manny Rodriguez,27,70,2018
Jay Karas,23,70,1600
Rajiv Chilaka,22,71,1561
Brian Volk-Weiss,21,62,1311
Jan Suter,21,64,1336
D.J. Viola,19,89,1688
John English,19,70,1396
Ra�l Campos,19,64,1217
Jack Hannah,17,7,123
John Lasseter,16,35,554
Marcus Raboy,16,64,1026
Paul Hoen,16,89,1418
Robert Stevenson,16,95,1516
Suhas Kadav,16,82,1307
Wilfred Jackson,16,30,477
Baeble Music,14,46,648
Nick Hatton Jones,14,29,400
Richard Hickey,14,29,400
Robert Vince,14,91,1275
Ryan Polito,13,64,838
Cathy Garcia-Molina,13,118,1537
Clyde Geronimi,13,50,651
Charles Nichols,12,7,85
Don Michael Paul,12,99,1191
George Archainbaud,12,62,745
Jack Kinney,12,32,389
Steven Spielberg,12,135,1754
William Wyler,12,99,1190
Youssef Chahine,12,124,1482
John Asher,12,71,853
Joseph Kane,12,56,734
Martin Scorsese,12,144,1731
Michael J. Nelson,12,86,1038
Robert Rodriguez,12,94,1128
Pinkfong,11,47,515
Aaron Michael,11,22,246
David Dhawan,11,138,1518
James Algar,11,61,671
Shawn Levy,11,83,910
William Nigh,11,70,771
Tim Gray,10,58,584
Vincent McEveety,10,97,969
Lance Bangs,10,74,811
Mora TV,10,42,421
Percy Adlon,10,102,1016
Bob Peterson,10,6,64
Bruce Legg,10,60,598
Fernando Ayll�n,10,84,835
Arthur Merkulov,9,42,375
Christian Hughes,9,36,320
Craig Moss,9,86,865
Doug Campbell,9,88,788
Frank McDonald,9,69,618
Hamilton Luske,9,73,655
Shannon Hartman,9,65,587
William Hoareau,9,20,178
Y?lmaz Erdo?an,9,110,986
Johnnie To,9,100,1002
Justin G. Dyck,9,87,786
Kenny Ortega,9,110,988
Norman Tokar,9,104,934
Ram Gopal Varma,9,125,1121
Rob Reiner,9,97,974
Ron Howard,9,136,1355
John Ford,8,88,703
John Huston,8,75,597
Krishnan-Panju,8,154,1235
Kunle Afolayan,8,122,974
Leslie Small,8,80,637
Noah Baumbach,8,98,980
Priyadarshan,8,142,1132
Anurag Kashyap,8,132,1060
Dibakar Banerjee,8,124,992
Duwayne Dunham,8,88,705
Frank Capra,8,90,717
Garry Marshall,8,120,960
Hakan Alg�l,8,101,808
Hanung Bramantyo,8,130,1044
HooplaKidz,8,24,196
Sam Newfield,8,62,492
Sean McNamara,8,89,803
Stevin John,8,64,512
Stuart Gillard,8,90,717
Tim Burton,8,102,816
Troy Miller,8,63,505
Umesh Mehra,8,157,1258
Yash Chopra,8,174,1389
Shiva Nirvana,7,146,1019
Spike Lee,7,111,999
Steven Soderbergh,7,103,724
Toshiya Shinohara,7,96,672
Vincent Bova,7,24,170
Werner Herzog,7,91,636
William Beaudine,7,70,488
Wong Jing,7,105,735
Jesse V. Johnson,7,97,677
Jim Wilmer,7,197,1377
John Musker,7,94,756
Jonathan Demme,7,112,787
Karan Johar,7,172,1717
Lasse Hallstr�m,7,108,866
Lokesh Kanagaraj,7,172,1204
Mae Czarina Cruz,7,116,811
Martin Campbell,7,131,1045
Matt Askem,7,103,720
McG,7,103,722
Michael Feifer,7,89,625
Noriaki Yuasa,7,84,591
Omoni Oboli,7,103,718
Prakash Satam,7,62,434
Quentin Tarantino,7,149,1042
Raja Gosnell,7,92,642
Robert Luketic,7,105,942
Robert N. Bradbury,7,58,405
Rohit Jugraj,7,134,940
Ron Clements,7,94,756
S.S. Rajamouli,7,159,1113
Alex Zamm,7,91,634
Andy Tennant,7,108,864
Anees Bazmee,7,149,1043
Ben Sharpsteen,7,23,164
Brad Bird,7,103,718
Clint Eastwood,7,132,922
Damien Eckhardt-Jacobi,7,24,170
Fred Olen Ray,7,87,693
Hemant Madhukar,7,126,882
