release_year,genre_list,movie_count_per_year
1920,comedy,1
1920,Drama,2
1922,Action,1
1922,Suspense,1
1923,Drama,2
1924,Drama,1
1925,Action,4
1925,comedy,1
1925,Drama,1
1925,Horror,1
1925,Western,1
1926,Romance,1
1926,Western,1
1927,comedy,1
1928,Animation,1
1929,Action,2
1929,Adventure,1
1929,Drama,1
1930,Action,1
1930,Arts,1
1930,comedy,1
1930,Drama,1
1930,Romance,1
1931,Action,1
1931,Drama,1
1931,Western,1
1932,Action,1
1932,Animation,3
1932,Drama,4
1932,Horror,1
1932,Western,1
1933,Action,2
1933,Animation,3
1933,comedy,1
1933,Drama,2
1934,Action,3
1934,Animation,4
1934,comedy,1
1934,Drama,4
1934,Western,4
1935,Action,4
1935,Animation,4
1935,comedy,2
1935,Drama,4
1935,Suspense,1
1935,Western,4
1936,Action,6
1936,Animation,6
1936,Arts,3
1936,comedy,5
1936,Drama,7
1936,Suspense,2
1936,Western,5
1937,Action,6
1937,Action & Adventure,1
1937,Animation,5
1937,Arts,4
1937,comedy,3
1937,Drama,6
1937,Military and War,1
1937,Western,4
1938,Action,5
1938,Action & Adventure,1
1938,Animation,4
1938,Arts,1
1938,comedy,3
1938,Drama,4
1938,Western,2
1939,Action,5
1939,Adventure,2
1939,Animation,6
1939,comedy,3
1939,Drama,5
1939,Military and War,1
1939,Suspense,2
1939,Western,2
1940,Action,1
1940,Action & Adventure,1
1940,Adventure,1
1940,Animation,6
1940,comedy,5
1940,Drama,5
1940,Suspense,2
1940,Western,2
1941,Action,4
1941,Animation,7
1941,Arts,4
1941,comedy,7
1941,Drama,5
1941,Military and War,1
1941,Western,1
1942,Action,5
1942,Animation,6
1942,Classic Movies,2
1942,comedy,3
1942,Drama,1
1942,Suspense,4
1942,Western,3
1943,Action,6
1943,Adventure,1
1943,Animation,2
1943,Arts,1
1943,Classic Movies,1
1943,comedy,2
1943,Documentary,2
1943,Drama,3
1943,Suspense,3
1943,Western,5
1944,Action,2
1944,Animation,1
1944,Arts,2
1944,Classic Movies,2
1944,Drama,4
1944,Special Interest,1
1944,Western,3
1945,Action,2
1945,Animation,1
1945,Arts,3
1945,Classic Movies,3
1945,comedy,1
1945,Documentary,1
1945,Drama,4
1945,Special Interest,1
1945,Western,1
1946,Action,3
1946,Adventure,1
1946,Animation,2
1946,Arts,2
1946,Classic Movies,1
1946,comedy,1
1946,Drama,9
1946,Western,4
1947,Action,3
1947,Action & Adventure,1
1947,Animation,4
1947,Arts,5
1947,Classic Movies,1
1947,comedy,2
1947,Drama,7
1947,Western,5
1948,Action,2
1948,Adventure,1
1948,Animation,5
1948,Arts,1
1948,comedy,3
1948,Drama,4
1948,Suspense,1
1948,Western,3
1949,Action,5
1949,Action & Adventure,1
1949,Animation,4
1949,Drama,5
1949,Special Interest,2
1949,Western,2
1950,Action,4
1950,Action & Adventure,1
1950,Animals & Nature,1
1950,Animation,4
1950,comedy,3
1950,Drama,7
1950,Family,1
1950,Special Interest,4
1950,Western,5
1951,Action,2
1951,Action & Adventure,1
1951,Adventure,1
1951,Animals & Nature,1
1951,Animation,2
1951,Arts,1
1951,comedy,2
1951,Drama,7
1951,Special Interest,6
1952,Action,2
1952,Action & Adventure,1
1952,Adventure,1
1952,Animals & Nature,2
1952,Animation,5
1952,comedy,3
1952,Drama,5
1952,Special Interest,1
1952,Western,4
1953,Action,6
1953,Action & Adventure,1
1953,Adventure,2
1953,Animals & Nature,2
1953,Animation,3
1953,Arts,1
1953,comedy,4
1953,Drama,6
1953,Western,5
1954,Action,4
1954,Action & Adventure,1
1954,Animals & Nature,1
1954,Animation,2
1954,Arts,2
1954,Children & Family Movies,1
1954,Classic Movies,1
1954,comedy,1
1954,Drama,4
1954,Horror,1
1954,Western,1
1955,Action,5
1955,Action & Adventure,1
1955,Animals & Nature,1
1955,Animation,2
1955,Arts,1
1955,Classic Movies,3
1955,Documentary,3
1955,Drama,2
1955,Suspense,1
1956,Action,6
1956,Action & Adventure,2
1956,Animals & Nature,1
1956,Classic Movies,1
1956,comedy,3
1956,Documentary,1
1956,Drama,7
1956,Musical,1
1956,Western,1
1957,Action,4
1957,Animals & Nature,2
1957,Animation,1
1957,Arts,1
1957,Classics,1
1957,comedy,1
1957,Drama,1
1957,Horror,1
1958,Action,5
1958,Classic Movies,3
1958,comedy,1
1958,Drama,8
1958,Horror,1
1958,Western,1
1959,Action,5
1959,Action & Adventure,2
1959,Animation,1
1959,comedy,5
1959,Drama,3
1959,Family,1
1959,Horror,5
1960,Action,5
1960,Action & Adventure,3
1960,Animals & Nature,1
1960,Arts,1
1960,Classic Movies,1
1960,comedy,2
1960,Coming of Age,1
1960,Drama,2
1960,Horror,1
1960,Science Fiction,1
1961,Action,1
1961,Action & Adventure,2
1961,Animals & Nature,1
1961,Arts,1
1961,comedy,3
1961,Drama,3
1961,Family,1
1961,Horror,3
1961,Science Fiction,1
1962,Action,2
1962,Action & Adventure,2
1962,Animals & Nature,1
1962,Classic Movies,1
1962,comedy,3
1962,Coming of Age,1
1962,Drama,6
1962,Horror,1
1962,Romance,2
1962,Suspense,1
1963,Action,3
1963,Action & Adventure,3
